cycle,amb_temp,date_time,voltage_battery,current_battery,temp_battery,current_load,voltage_load,time,capacity
378,24,"13 May 2008, 9:24:04",3.557415161,-0.003319071692,35.64502539,0.0006,0,2964.468,1.453901227
382,24,"13 May 2008, 14:20:24",3.570394142,0.001559667278,35.3909784,0.0008,0,2983.375,1.454146207
386,24,"13 May 2008, 19:04:20",3.557697563,-0.001606333402,35.90172424,0.0008,0,2975.297,1.455023752
390,24,"13 May 2008, 23:59:26",3.562114572,-0.002522692742,35.87657254,0.0006,0,2974.985,1.449042164
394,24,"14 May 2008, 4:55:57",3.576830515,-0.001423646261,35.37052397,0.0008,0,2966.25,1.438670937
398,24,"14 May 2008, 9:52:22",3.577213254,-0.002347943207,35.31944752,0.0006,0,2956.359,1.433445432
402,24,"14 May 2008, 14:35:22",3.569684886,-0.003987192003,35.63996182,0.0006,0,2956.344,1.43339589
406,24,"14 May 2008, 19:31:39",3.57630513,-0.00211502297,35.68616081,0.0006,0,2956.406,1.428064873
410,24,"15 May 2008, 0:27:55",3.5780032,-0.004832065415,35.57224194,0.0006,0,2947.266,1.422920318
414,24,"15 May 2008, 5:24:04",3.578252916,-0.002271526366,35.4116223,0.0006,0,2937.984,1.417429033
418,24,"15 May 2008, 10:20:03",3.579526481,0.0003379455565,35.29541793,0.0006,0,2929.125,1.412409229
422,24,"15 May 2008, 15:10:59",3.573309099,-0.004553122841,35.60791878,0.0006,0,2928.454,1.412578793
426,24,"15 May 2008, 19:56:47",3.580853525,-0.0004079778231,35.72414943,0.0008,0,2929.375,1.407598373
430,24,"16 May 2008, 16:54:59",3.555891725,-0.003011530231,35.90399751,0.0008,0,2946.031,1.433392049
432,24,"16 May 2008, 21:37:39",3.551885409,-0.002707781949,36.11670038,0.0008,0,2955.438,1.438255018
436,24,"17 May 2008, 2:32:13",3.57361512,-0.002190466678,35.48818286,0.0006,0,2937.625,1.417354717
440,24,"17 May 2008, 7:25:19",3.58224981,-0.0005202572147,35.09068818,0.0006,0,2929.078,1.406981664
444,24,"17 May 2008, 12:21:15",3.582107103,-0.0008830152641,35.08313939,0.0006,0,2918.375,1.401203778
448,24,"17 May 2008, 17:15:37",3.584544253,0.0008061978411,34.98209371,0.0006,0,2919.812,1.396700823
452,24,"17 May 2008, 22:10:51",3.582997064,-0.001309372354,35.08471914,0.0006,0,2900.422,1.391284789
456,24,"18 May 2008, 3:05:19",3.585576081,-0.001703344416,34.94908276,0.0006,0,2901.375,1.386228768
460,24,"18 May 2008, 8:00:50",3.591090838,0.000880984583,34.70452785,0.0006,0,2901.187,1.380436676
464,24,"18 May 2008, 12:44:48",3.594060584,-0.002624300994,34.66713131,0.0006,0,2891.64,1.375236415
468,24,"18 May 2008, 17:36:29",3.59110796,-0.001529448389,34.73478778,0.0006,0,2882.906,1.370512802
472,24,"18 May 2008, 22:31:45",3.58881201,-0.001782133812,34.79017756,0.0006,0,2883.265,1.370508557
476,24,"19 May 2008, 3:27:07",3.594214792,-0.003192486164,34.60274189,0.0006,0,2882.969,1.364735511
480,24,"19 May 2008, 15:34:33",3.583341522,-0.005381432105,35.20080243,0.0006,0,2891.656,1.375392017
482,24,"19 May 2008, 20:59:48",3.580430719,-0.001133734358,35.37656984,0.0006,0,2901.25,1.386111515
484,24,"20 May 2008, 1:16:42",3.592441816,0.0008418702493,35.02073679,0.0006,0,2891.703,1.369850004
488,24,"20 May 2008, 6:12:06",3.589331565,-0.00250224036,34.92008219,0.0006,0,2883.016,1.364782795
492,24,"20 May 2008, 11:07:23",3.602288323,-0.002432712956,34.51525448,0.0006,0,2873.453,1.354322047
496,24,"20 May 2008, 15:57:27",3.597021214,-0.006605726986,34.95922357,0.0006,0,2874.031,1.354641702
500,24,"20 May 2008, 20:50:39",3.592312208,-0.0002227976761,35.09464992,0.0006,0,2874.234,1.354703921
504,24,"21 May 2008, 1:39:38",3.595500119,1.21E-05,34.87110957,0.0006,0,2864.984,1.349314998
508,24,"21 May 2008, 6:24:27",3.596823461,0.001916534299,34.64809422,0.0006,0,2855.093,1.344189194
512,24,"21 May 2008, 11:18:06",3.601835675,-0.002030693243,34.44831393,0.0006,0,2855.625,1.338991379
516,24,"21 May 2008, 16:10:21",3.599344814,-0.0002295519507,34.76318323,0.0006,0,2855.594,1.338914523
520,24,"21 May 2008, 21:02:09",3.603579039,0.0001922589021,34.6771112,0.0006,0,2847.437,1.334006676
524,24,"22 May 2008, 1:42:59",3.605860961,-0.00118763518,34.35552173,0.0006,0,2847.36,1.328644431
528,24,"22 May 2008, 6:32:40",3.61050785,-0.001502656313,34.13298084,0.0006,0,2837.328,1.323170899
532,24,"22 May 2008, 11:23:22",3.616262908,-0.0003439261609,33.97306701,0.0006,0,2837.281,1.318169159
536,24,"22 May 2008, 16:17:58",3.613479486,0.002014312427,34.3739489,0.0006,0,2838.515,1.318466444
540,24,"22 May 2008, 20:59:50",3.607069041,-0.001435257576,34.44341685,0.0006,0,2828.328,1.31829304
544,24,"23 May 2008, 12:13:16",3.602312681,-0.004821586968,33.98038017,0.0006,0,2838.265,1.323872422
547,24,"23 May 2008, 20:14:29",3.577927761,-0.004081000159,34.97066611,0.0006,0,2864.547,1.360121677
551,24,"24 May 2008, 1:09:21",3.593974645,-0.004431400857,34.68949036,0.0006,0,2846.39,1.339530687
555,24,"24 May 2008, 6:00:20",3.60427474,4.31E-05,34.35560665,0.0006,0,2837.969,1.329028657
559,24,"24 May 2008, 10:42:50",3.608769672,-0.001950271018,34.17986036,0.0006,0,2838.156,1.323674127
563,24,"24 May 2008, 15:31:10",3.609387707,-0.001991020902,34.14567217,0.0006,0,2829.843,1.318633897
567,24,"24 May 2008, 20:21:13",3.6149339,-0.001904166818,33.99467217,0.0006,0,2829.625,1.313475132
571,24,"25 May 2008, 1:06:49",3.609023225,-0.002823704675,34.16712025,0.0006,0,2819.437,1.313202063
575,24,"25 May 2008, 5:57:17",3.614331348,-0.003824238535,33.97599952,0.0006,0,2819.579,1.307795995
579,24,"25 May 2008, 10:51:37",3.617824457,-0.004508289318,33.98222497,0.0006,0,2810.672,1.303032919
583,24,"25 May 2008, 15:37:08",3.61308721,-0.003392808851,34.07899622,0.0008,0,2811.485,1.303357356
587,24,"25 May 2008, 20:23:04",3.60703955,-0.005626640278,34.30494727,0.0006,0,2802.422,1.303410044
591,24,"26 May 2008, 1:13:02",3.614909412,-0.004150585576,34.12626263,0.0006,0,2801.625,1.297887081
595,24,"26 May 2008, 6:01:08",3.610903754,0.000918747329,34.13529495,0.0006,0,2802.031,1.298073506
599,24,"26 May 2008, 10:44:38",3.615560502,-0.002548451569,34.07564903,0.0006,0,2793.39,1.293463614
603,24,"26 May 2008, 15:30:43",3.621191033,-0.00246018258,33.99134953,0.0006,0,2793.39,1.288003393
607,24,"26 May 2008, 20:21:04",3.619185105,0.0004778014371,34.0591984,0.0006,0,2792.485,1.287452522
611,24,"27 May 2008, 15:52:41",3.595364973,-0.002341505352,34.55651437,0.0006,0,2802.016,1.309015364
613,24,"27 May 2008, 20:45:42",3.589937389,-0.0005833472585,34.40592046,0.0006,0,2820.39,1.325079329
